video,title,isdone,n_chunks,transcription
تحدي المافيا المغربية - الجزء الثاني,,,,شكرا. جميع الأدوار قامت بالدور ديالها. إذن المرحلة اللي كتجي بعد منها هو الصباح.
تحدي المافيا المغربية - الجزء الثاني,,,,فيقوا فيقوا. زين عام اسيدي فيقوا. صباح الخير عليكم. صباح الخير. صباح الخير. صبح الخير. صباح الخير. صباح الخير عاشت الاجواء.
تحدي المافيا المغربية - الجزء الثاني,,,,صباح الخير و المدينة حتى هي عاشت الأجواء.
تحدي المافيا المغربية - الجزء الثاني,,,,"واش المافيا ديرش هاد الشي ؟
"
تحدي المافيا المغربية - الجزء الثاني,,,,"وفعلا واحد من المدينة مات.
"
تحدي المافيا المغربية - الجزء الثاني,,,,"والمافيا قررات تغتال الحيت الشيخ.
"
تحدي المافيا المغربية - الجزء الثاني,,,,"أو رشيد رفيق كيضحك.
"
تحدي المافيا المغربية - الجزء الثاني,,,,"الاغتيال باي باي. وكان علا الزبير هلال.
"
تحدي المافيا المغربية - الجزء الثاني,,,,متي معنا الزبير. باي باي. اه يا شوف شوف اجي بالخدمة والله والله بابا باي باي جاية مرة باقة. اجي ضارب طريق اصاحبي نخرج من طريق الله يخليك. الاني ترتاح بشوية . واحد الغرض وانا بلاتي خليك بالك نصدمهم. الدور ديال الزبير ماشي دور عادي.
تحدي المافيا المغربية - الجزء الثاني,,,,المافيا قدرات تغتيل واحد صحيح. الدور ديال الزبير هو؟
تحدي المافيا المغربية - الجزء الثاني,,,,سيخ. بغا يقتلني الله يلك علي. الزبير بسرعة. يلا قول آمين. غادرنا البلاطو. شكرا لك الزبير باش نكمل اللعبة. شكرا الزبير مع السلامة. برافو الزبير باي باي. باي باي. باي باي الله لقيتي فيا ضارب طريق قالي.
تحدي المافيا المغربية - الجزء الثاني,,,,المرة تكون فرحانة ياك هذا في كازا؟ خرج ليكم دور مهم اللي هو الشيخ.
تحدي المافيا المغربية - الجزء الثاني,,,,الشيخ دابا مابقاش يسول واش انت مافيا ولا لا، المافيا تكون عندهم واحد الفرصة باش انهم يغتالو بلا ما يعرفهم. ها دابا شن هي اول فقره نعم اسيدي في الصباح اللي هي فقره التحقيق، نسول عمر لطفي فيمن شاك في المجموعه اللي به صراحه
تحدي المافيا المغربية - الجزء الثاني,,,,حيت عرفتي علاش؟ حيت لعبات الدور مزيان ديك اللعبة أنا ماشي مافيا رشيد رفيق عطيني السمية شكون شاق وعلاش أنا كنعرف تبارك الله عمر لطفي ممثل ممثل الباري تبارك الله في الأدوار اللي كيدير بش بدتي به؟ أنا شاك فيه هو وزكريا لا عندك حق في واحد ولا جوج؟ جوج جوج؟ أه لبنى وهو
تحدي المافيا المغربية - الجزء الثاني,,,,شكي شكي شكي غادي مافيا هما هذوك أنا شاك فيك خويا انت عمر وزكرياء ساكت هذاك قاتل وناضي غسل يدي هذاك جاي يصلي معاهم ديالي ماش لا قمر عيني السمية عيني السمية وفيمن شاكا سمح لي عمر سمح لي عمر لاله قمر عيني السمية فيمن شاكا وعلاش معرفتش علاش تبدلت الوجهات النظر ديالي رشيد سمح لي خاص تعطيني قمر السمية فيمن شاكا وعلاش
تحدي المافيا المغربية - الجزء الثاني,,,,أنا. والله حتى أنا، أنا سيري الله يسهل عليك. وصافي أنا نسير غادي تخرج على راسي. أنا شاكة في في عمر. امم. اه.
تحدي المافيا المغربية - الجزء الثاني,,,,أوفي زكرياء قمر وزكرياء علاش ولكن شوف ولكن هو ماشكش فيه بالذات انا صاحبي راه جاوبت الله يلعن جاوبت الله عيب شكرا قمر زكرياء احترف في مشاك وعلاش
تحدي المافيا المغربية - الجزء الثاني,,,,سارح باش نقول لك اخويا انا لا باس شويه شكيت واخا كنشوف غير بالنص العين علاش؟ شكون شهضني انا مافوزي انا الحيط ضضر حيت رشيد دار واحد الحركه ديال امم ديال
تحدي المافيا المغربية - الجزء الثاني,,,,المافيوزي برافو عليك الصباح وهو كيتبغبغ الصباح وهو كيتبغبغ هنايا وقبيلة قلت ليه خصك الا كنتي نتا مافييا يقول انت هذاك هو المافيا شكرا شكرا شكرا زكريا شكرا قمر نمشيو لالة لبنى شكرا الشباب خصنا نسمعو لبنى فيما نشكا وعلاش. برافو عليك. شكرا.
تحدي المافيا المغربية - الجزء الثاني,,,,أنا صراحة الله، أعوذ بالله من قولة أنا، أنا شكيت فيك. فيا أنا؟ عرفتي علاش؟ أنا نقول لك علاش. شكيت أنا نقدر نتكلم، نقدر نتكلم؟  تكلمي شكاي. حيت من الصباح هو كيتببز. برافو عليك. مبروك لا لا، وحيت هذ الدرويشة ديالك اللي جاتني فيها الشك. وعاد عرفتي المافيوزي آش باغي. حنا المغاربة بحال هكا كنشوفوا غير الدرويش. اه. شتي، شوف ستي درتيها الشبهات على راسك.
تحدي المافيا المغربية - الجزء الثاني,,,,الحوار وسكتي والله العظيم دايز انا انا خليتيني نا اذا نمشيو للمرحله الجايه اللي هي مرحله
تحدي المافيا المغربية - الجزء الثاني,,,,المرحلة اللي غتعطيوني الصوت ديالكم فيها؟
تحدي المافيا المغربية - الجزء الثاني,,,,"شكون أكثر واحد كاتشكو فيه أنه المافيا؟
"
تحدي المافيا المغربية - الجزء الثاني,,,,ومن وراها غتكون عنده دقيقة لأعلى تصويت.
تحدي المافيا المغربية - الجزء الثاني,,,,"باش يبرر أنه علاش ماشي مافيا.
"
تحدي المافيا المغربية - الجزء الثاني,,,,هاي يخرج باش نشوفوا لاكارط ديالو واش بصح مافيا ولا ماشي مافيا نبداو بالتصويت نبداو من عند السي رشيد رفيق اعطيني التصويت ديالك لمن كيمشي
تحدي المافيا المغربية - الجزء الثاني,,,,وحده وحطتي عيني شكون اللي غادي يهز دابا سويلي التصويره ديالك على شخص واحد، عندي فانتظر النتيجة ديالي ديال رونالدينيو كيداي ها هيا عمر عمر هادي صباح ها هو شكرا عمر لطفي قمر قمر جوج الصباح رشيد رشيد هز لي صباع ايوا واحد صباع واحد صباع واحد واحد صباع واحد قمر رشيد رشيد هز جوج صباع وكيبقى الصوت ديال زكرياء حداف فاصل مابين واش غادي نكول نقولوا أن هادي المافيا ولا رشيد المافيا ولا غتصوت على واحد أخور كون انتيليجون كون انتيليجون لا انتيليجون إن شاء الله التصوير ديالك زكرياء على شخص واحد عطيني التصويت ديالك، ما نقدرش نعطي الرأي ديالي على من على رشيد شكرا ليك الإخوان لا ما تخرجش ما تخرجش عندك دقيقة دافع فيها على راسك علاش أنت ماشي مافيا يلاه تقنعهم أنهم أنك أنت ماشي شوف شوف شوف اللي كيكون اللي كيكون ماشي نطحكوا على الدري 
تحدي المافيا المغربية - الجزء الثاني,,,,ودخل في الاطار اه.
تحدي المافيا المغربية - الجزء الثاني,,,,"فاش كتشوفني مرتاح وكنضحك.
"
تحدي المافيا المغربية - الجزء الثاني,,,,ما عندي والو مرتاح اللي عنده وين برزت ساكت مره مره كيدوي يدور في عيني بالزات وصافي راه بين اصاحبي راه انا من الوجه كنقرا بنادم بغيت نشارك معك واحد النقطه مهمه
تحدي المافيا المغربية - الجزء الثاني,,,,إلى خرجتوا شخص مواطن صالح بحالكم راه غادي تعرضوا أنه المافيا غاتقتلكم دونك خاصكم تكونوا ذكيين جدا في الاختيار
تحدي المافيا المغربية - الجزء الثاني,,,,ديال هذاك الشخص اللي غيصوتوا عليه واش مافيا ولا ماشي مافيا دونك احنا بغينا نخرج رشيد والا كان مواطن صالح كونوا اديناه كونوا اديتوا راسكم اديناه
تحدي المافيا المغربية - الجزء الثاني,,,,ما جاتش معاي و انا و انا سمعتوني الدراري انا نقول لكم ليليه.
تحدي المافيا المغربية - الجزء الثاني,,,,"بريك أوشيك بطاطا غير مباشرة. أنا اللي عليك.
"
تحدي المافيا المغربية - الجزء الثاني,,,,تبارك الله عليه. شحال نشير كي أنا ما نيش نظري معايا. شوف هو واخر نبغيو نتعاونو معاه، ما تجيش معاه مواطن صحاب، دابا أنا نجيكوم من اللخر، دابا راه هما اللي كيدويو بزاف وهما اللي دايرين. حنا ما كيدويوش. كيتبربصوا ولكن أنا كيما قلت لك باقا بين قمر وعمر. القمر. دابا أنت دافعتي على راسك. ما كنعرفش، زيد دافع أكثر. دابا أنت دافعتي على راسك. صحابي لتحت. طلعوا يدافعوا معايا. دافعتي على راسك.
تحدي المافيا المغربية - الجزء الثاني,,,,دونك دابا غانعاودوا التصويت باش نشوفو واش التصويت ديالك باقي عليك ولا تغير التصويت باش تشوفوا الراي ديال واحد اخر. باينة عليا والله ماينا شي تاويل من صافي. على من تصوتي؟
تحدي المافيا المغربية - الجزء الثاني,,,,"أنا باقي باقي الشك ديالي.
"
تحدي المافيا المغربية - الجزء الثاني,,,,رشيد هز صبع واحد. زكريا على من كتصوت؟ على رشيد رشيد هز جوج صبع شكرا على من كتصوتي؟ على رشيد رشيد هز ثلاثه صبع رشيد على من كتصوت؟
تحدي المافيا المغربية - الجزء الثاني,,,,صراحه والله رشيد الله يرحم والله رشيد رشيد مع الأسف ماتعاودش تدافع على راسك وتتعطينا الكره ديالك باش نكتشفوا شوف واش أنت شنو بسم الله باين والله تبقا فيا عمر لطفي زكريا حدراف قمر
تحدي المافيا المغربية - الجزء الثاني,,,,لمنا، أكدتي أنه رشيد رفيق هو المافيا؟ أنا نبصم عليها يدين.
تحدي المافيا المغربية - الجزء الثاني,,,,قلت لك يا أذني بس اسمح لي يا رجلي تشوف تعرفي تشوف أنا قلت لك دير شي حاجة ناري قول لك شوف أنا قلت لك دير شي حاجة رشيد راه فيقول لي أنت يا مافيا رشيد رفيق
تحدي المافيا المغربية - الجزء الثاني,,,,أها شكرا جزيلا الله الله أولدي مع السلامة الله يحفظك بدون الكلام لا لا ماشي ماشي هكاك داير واحد القولة مليحة
تحدي المافيا المغربية - الجزء الثاني,,,,المدينة اللي بقينا فيها. بقينا فيها جوج مافيا، وبقى فيها طبيب ومواطن صالح. بغيت نطلب منكم
تحدي المافيا المغربية - الجزء الثاني,,,,أنكم كاملين تغمضوا عينيكم حيت الليل.
تحدي المافيا المغربية - الجزء الثاني,,,,"وغانطلب من المافيا.
"
تحدي المافيا المغربية - الجزء الثاني,,,,أنها تحل عينيها. المافيا حيت بقينا جوج ضد جوج، ماغيكونش اغتيال. فغادي نقول لكم برافو عليكم وصلتوا لهذه المرحله بعدا حيت الا درتوا الاغتيال اللعبه اتسالي هنا، وغادي نمشيو نيشان للصباح باش نبداو عاوتاني فقره
تحدي المافيا المغربية - الجزء الثاني,,,,صباح الخير عليكم. صباح الخير عليكم، صباح الخير فلاحين.
تحدي المافيا المغربية - الجزء الثاني,,,,ايها المواطنين الصالحين؟
تحدي المافيا المغربية - الجزء الثاني,,,,اختيار المافيا، عنبداو، من لبنى جوهري، اعطيني الاسم لي شاكة فيه وعلاش. ما شاكة ف حتى السيدة هادي. ما عرفتش، تاني شيداير بزاف، وتيدخل في العمق، وكايحاول يدخل فالفراجات، وداكشي جا ني هوا. قمر فيمن شاكة وعلاش؟ بصراحة، شاكيت أنا فزكريا. عرفتي كيشوف فيه، كايدور فعينيه، كيخلعني. زكريا، فيمن شاك وعلاش؟ شاك ف قمر، أنا لالا كيدور فعينيها. السي عمر لطفي؟ شاك فيه هوا حتى بصح، الطريقة باش كيهدر، كاي كينزاد فيك إيكزاجيري فالتمثيل. إيه. إيه. زكريا ديجا قلنا لها.
تحدي المافيا المغربية - الجزء الثاني,,,,لا لا لا. يلاه اقعد. سير. غنمشيو نيشان قمر علاه ما كتصوتي؟ زكرياء حدرة. زكرياء حدرة، رفع إصبع واحد. لبنى الجوهري. علي شوف فمك فمه راه سرطوا. زكرياء حدرة، إصبعين. غتغلطوا. عمر لطفي.
تحدي المافيا المغربية - الجزء الثاني,,,,خرجنا على واحد تخرجوا على الثاني نطلبوا نطلبوا الليح.
تحدي المافيا المغربية - الجزء الثاني,,,,اجي الصبع الثالث الله يرحم باك، الصبع الثالث.
تحدي المافيا المغربية - الجزء الثاني,,,,ياك هادي بديتي مزولة؟ اه اه يهديكم الله، راه خرجنا خرجنا مواطن، غتخرجو واحد اخر.
تحدي المافيا المغربية - الجزء الثاني,,,,هديك الله والله اخا ما بيناش فكمو مسكين بينش كاع فمو كلا كلا كلا شحال عندك دقيقة اسمحولي الاخوان ماتقاطعوش عندك عندك دقيقة اممم
تحدي المافيا المغربية - الجزء الثاني,,,,واضحة أنك تقول أنك أنت مواطن صالح ولا مافيا؟ في الأول حامض حميد ومشى لنا الشيخ.
تحدي المافيا المغربية - الجزء الثاني,,,,الله يا ربي الله. في الأول حامي، مني مشينا للشيخ. الله يا رب الله.
تحدي المافيا المغربية - الجزء الثاني,,,,أعوذ بالله من الشيطان الرجيم  كان اكزا ݣيريش. نصورلك.
تحدي المافيا المغربية - الجزء الثاني,,,,"انا كنت كان يجيريش. الله يرحم الوالدين.
"
تحدي المافيا المغربية - الجزء الثاني,,,,شكاو عليه قلت لهم شنو كاين ما والو اخويا شوف شوف كوبي كوبي الله الله يخليكم ويلي تطلب ماشي ديال اول مره سمعوني المره الاخيره كابيسو كابيسو سمعيني سمعيني لاله قمر هذه راه مساله ديال الله يرحم الوالدين
تحدي المافيا المغربية - الجزء الثاني,,,,اه. يعني ضيعنا واحد واحد الشخص واحد منا، هاهنتم غاديين تضيعوا واحد آخر. والله حتى كذاب! ناري ناري، ما طلقوا يدي، والا كان الكذاب، ياك، لان لان لان هذه راه مسألة موت أو حياة، وأنا ما باغيش نعطي دابا لانني عارف شنو كاين. عطيهالك عطيهالك عطيهالك هبط ليا من ودي اه يا أختي يا ويلي مالك؟
تحدي المافيا المغربية - الجزء الثاني,,,,"او ماشي لله الا الله
"
تحدي المافيا المغربية - الجزء الثاني,,,,و عمر كيقول ليا كيتكدب.
تحدي المافيا المغربية - الجزء الثاني,,,,أوه ماي جاد! أش ديها أمراه روتشزيك زوينة ياشوريك. وهي باينة فيك ما نكذبش عليك. أه حيدرتي بحال هكا. ويلي! لا الوسط ماشي مزيان. أنت أترنس أ خويا. ش نقولك واحد القضية. أنا ضميري مرتاح. صون من طرف الصلحة ولا مافيوز يمات يماتين. وي!
تحدي المافيا المغربية - الجزء الثاني,,,,لأن أخويا راك ما كتعرفش سمك ويلي على لا لا لا عيقتي مافيكتكمش خاصكم تعرفوا
تحدي المافيا المغربية - الجزء الثاني,,,,سي دومياج! اه، واش قول سي عمر، ممثل كبير. و طلبت طلبت من قيمتي وكنطلب كنقول لكم الله يجازيكم بخير.
تحدي المافيا المغربية - الجزء الثاني,,,,واش كتحسب فيا انت؟ شو شوف في الحياة هي هذيك كاتغلب، حنا المغاربة هي هذه ملي كاتغلب كناخذها بصافي راه هدرنا هدرنا. المافيا هما قول انا قول شي كلمة لبنى وقاسر عرفتم والله حتى عرفتهم تا لدبا تا لدبا صوت عليه فقرة اسمع لي راه خاصك تربح واحد الفقرة
تحدي المافيا المغربية - الجزء الثاني,,,,والله حتى عرفتي كاع الهضرة. كاين أحكام العمل آسيدي. والله حتى عرفتي كاع الهضرة. هاد الأحكام ديال المافيا شكون غادي يقرب ليها؟
تحدي المافيا المغربية - الجزء الثاني,,,,"يعني المافيا بفلوسهم غيختاروا شخص ثاني.
"
تحدي المافيا المغربية - الجزء الثاني,,,,لبنى وقمر اختاروا لي الشخص اللي غادي يلعبوا فيه.
تحدي المافيا المغربية - الجزء الثاني,,,,"صراحة حلقة ممتعة.
"
تحدي المافيا المغربية - الجزء الثاني,,,,ولا الظلم ما يضرا الظلم! الظلم شايفين عليّ وحاكمين عليّ. واش نصبر نصبر؟
تحدي المافيا المغربية - الجزء الثاني,,,,ماشي حتى كتعزلي راه شوف شوف. الاخوان خصنا نعرفوا الحكم. لا تقرا هذا الشيء. لا حتى يقرا ملي يجيبك. شحال 5 6 7 ويه ويلي ويلي ويلي ويلي غنبدا ب 10 بوصب بالحكم ديال الزبير باش ننتقلوا للجوله الثانيه.
تحدي المافيا المغربية - الجزء الثاني,,,,أش تيدير؟ أه! هو هو! سير الله يعطيك صح. والله حتى كايصوروا. والله ما كايديروش، والله كايكايصوروا ها هو كايديروش. كايديروش كايديروش. كايصوروا ها هو كايصوروا. سير آآه! سير آآه!
تحدي المافيا المغربية - الجزء الثاني,,,,وبشحال طاكسي؟ عندك مشاكل الله يرضي عليك الله يرضي عليك الله يعطيك الضربة مني هنا مانكذبش. لا واحد النهار سبحان هكا حدايا. اه اه اه هادشي لي كاين.
تحدي المافيا المغربية - الجزء الثاني,,,,حتى مطايقين والله هذا الادوار وتتفرق يا لطيف يا لطيف يا لطيف تعرفوا الادوار ديالكم هنا نقدر نطلب منكم ترغمضوا عينيكم حيث وصلنا المافيا حل عينيك المافيا اختار لي الشخص اللي تم الاختيار يا ربي مايقلوش الزين مسكين راه كيبقاو فيا غادي نطلب من الشيخ يحل عينيه يلا الشيخ يلا حل عينيه زكريا
تحدي المافيا المغربية - الجزء الثاني,,,,اشنو هذا الصداع؟ كنطلب من الطبيب يحل عيني عتقنا! اعطيني الإسم لي باغي تحميه فهاد الجيم! عتق سير يا الطبيب سير عتق  ام سير سربي يا الطبيب الطبيب اختار فهاد الكيم غادي يكون نار إن شاء الله بون أه أه يا سلام باه باه باه باه نطلب منكم كاملين أنكم تحلوا عينيكم حيت الصباح وصل الليلة كانت نارية جدا صباح الخير السي عمر كيسموك  المافيا قدر أنه صباح الخير لي مات هو باه
تحدي المافيا المغربية - الجزء الثاني,,,,"آتا هنايا لكا هارا لا لا لا عرفتها سمعت ديك الطق سمعتها فوذني عندك الحق تقولي تا شي حاجة شكرا قمر ممكن أنك تعطينا البلاطو هذا خليه مع كاين البرد مكاني عليا البرد الدور ديال القمر مواقفة مع هاد دونك هذا الشي لصالح المواطنين الصالحين والله تا مظلومة اذن نمشيو هنا للمرحلة الاولى هي مرحلة ما أنا فيها التحقيق رشيد رفيق فيمن كتشك وعلاش خويا منكذبش عليك هاد الطرح هذا كبر عليا شوية معرفتش شكون معك واضح الزوبير مولف بديك الرشاقة ديالو بداك شوف حضور بان ليا بحال مشى فهمتيني اه مشى هدا التفكير ضعيف جدا معندكش الحق تجاوب معندكش تقول تا شي كلمة جوهري يعطيني فيمن شك وعلاش رشيد رفيق علاش متاكدة عمر لطفي أنشوف أنا فيمن شك وعلاش واحد فهاد الجوج وليني مادام هي قالت اوكي كي جر عندو مريكل فهمتي دخلاها عندو رشيد رشيد شي دوا كل سكيت كتتغنزلي 
"
تحدي المافيا المغربية - الجزء الثاني,,,,هذا هو الكاس كندير التحدي للسان ديالي انا
تحدي المافيا المغربية - الجزء الثاني,,,,فيمشات؟ فالمغرب اللي خانها لونها ماشكش فيها، حيث تكون جات فيها المافيا كنا نعاودها. زعما ديال الرؤية هنا سدار الى خويناه كاملين غيطيح الليلة. لا أنا نقول لك علاش أنا مانهضر مانهاوش أنا. أنا مانهضر مانهوش أنا. اعطيني السمية. أنا شاك فزكريا، السلام عليكم و رحمة الله و تعالى و بركاته. حتى أنا بدلت الرأي ديالي. حيث زكريا حسيت ميك الزيد زكريا باللي بحال تخررق شوية مللي حليتي ال حتى أنا شكيت فيه في اللخر. شحال من شنو نخليو واحد المسألة من الأول وأنا مخربق ماشي حتى لدابا. الصراحة قنعني دابا علاش شنيا هي؟ أنت مللي شكيتي فيه عرفتي عمر آش دار فيا؟ دار فيا
تحدي المافيا المغربية - الجزء الثاني,,,,واقيلا شي أو في واحد عشر ثواني مازال الحقك حتى تعاود تشوب عمر. أه هاد الشي اللي كاين ولكن أنا ما شكيتش فيه.
تحدي المافيا المغربية - الجزء الثاني,,,,فيلم شك دابا دابا هو راه كيقرا كيقرا كيقرا التصويت حيت بغيتي تدير النجار على زكريا انا بطبيعه الحال قبل ما يبدا الطرح كيحاول يقنعني باش نصوت على راشد كيقول لي راشد راشد دابا انت كدير فيها انا الصوت ديالي كيحيد من عند زكريا كنمشي عند عمر انا عمرشي دابا فقره التصويت وبدا من الزبير هلال على ما كتصوت على عمر عمر هزينا صبع واحد هزا حبيبي هزا رشيد رفيق على ما كتصوت عمر هزينا جوج صباح لبنى على ما كتصوتي عمر عمر دابا بديتي كتدخلي عمر على ما كتصوت يك اللي كيمشي شهيد كيقول عليه وكيوا عليه هو انا خويا زكريا هزينا صبع واحد زكريا على ما كتصوت
تحدي المافيا المغربية - الجزء الثاني,,,,شوف أخويا و ما تمات مات عمر عمر عمر عندك دقيقة وحدة طلبنا هنا عمر طلبنا هنا علاش أنت ماشي مافيا طلب أخويا طلب طلب أخويا شوف أش باغى نطلب كلشي أنا حاجة وحدة بغى نقول ليكم أنا مواطن عادي وغادي تضحيو بمواطن عادي اللي مافيوزي فهاد الساعة و أنا متأكد منو و إذا تبعتوني و إذا كنت غالط أنا نخرج هو هذا جيتي نتا راه نديرو المورا نصبو ماشي مشكل لا أنا أنا مواطن عادي يا صاحبي ماشي مشكل زعما التصويت حيت ما بغيتش تجرنا حيت كنت باغي تجرنا و علاش بغيتي دير لا حيت فاللول علاش كنت نسولها ملي عرفتني يعني علاش عرفت حيت نتا اللول اللي تحركتي بزاف فاش بدا كيقول لينا اختارو ماتختارو باش عرفتني أنا
تحدي المافيا المغربية - الجزء الثاني,,,,حسيت به كتحرك. وعلاش انا شكيت فيهم في الاول شكيتي فيهم بجوج هما حيت حيت سولتها سولتها باقي تربح هنا على صوت زكريا. حبيبي الله يخليك كمل الحوار ديالو. على الراي ديالهم.
تحدي المافيا المغربية - الجزء الثاني,,,,اللي تحرك فينا بزاف و بغا يقتلنا.
تحدي المافيا المغربية - الجزء الثاني,,,,كيتحرك بزاف عاود ثاني كوبي كوبي غانعاودوها نعودوها ماشي مشكل نعاودها والله حتى غاتندم شوفو التصويت الأخير غنبداو من عمر على من كتصوت هذا زكريا حذراف ها ز لينا إصبع واحد رشيد رفيق علا من كتصوت فهموني الدراري عمر عمر ها ز لينا إصبع واحد والله حتى لبنى على ما كتصوتي على عمر عمر ها ز لينا جوج د الأصابع الزبير علا من كتصوت على زكريا سير سير برافو عليك كلشي يهدرو بجوج  من الصباح الله يسمح لي دابا الثومة غاتسمعوا ليكم هنايا  زكريا ما صواتش إذا صوات على زكريا أنا كنصوت على عمر عمر شكرا لك شوفو الدراري مافيا حبيبي أنا
تحدي المافيا المغربية - الجزء الثاني,,,,ما فيا حبيبي انا نقول لك. ضيعتوا عليكم عضو أساسي في والله حتى شتي
تحدي المافيا المغربية - الجزء الثاني,,,,"وكنعيت معكم اصاحبي، هذه قلت النية. قبل ما نطلب منكم.
"
تحدي المافيا المغربية - الجزء الثاني,,,,بغيت غير نقول لكم انه الشيخ السؤال ديالو كان غالط، دونك الشيخ ما كيعرفش المار، غمضوا عينيكم حيت الليل وصل. اي ياي، المافيا.
تحدي المافيا المغربية - الجزء الثاني,,,,المافيا اختاروا لنا واحد يقتلوه.
تحدي المافيا المغربية - الجزء الثاني,,,,"صافي رجال المافيا تمت عملية الاغتيال بنجاح طيب يحلو الليلة.
"
تحدي المافيا المغربية - الجزء الثاني,,,,حمي لي هذا الشخص. عتق عتق اللي كاين شي ما يتعتق. عتق قتلو نمشي نشوف جنازته. شكراً لك.
تحدي المافيا المغربية - الجزء الثاني,,,,طيب حنا الشيخ للاسف مات، داكشي علاش غاننتقلو مباشرة الى الصباح.
تحدي المافيا المغربية - الجزء الثاني,,,,حلوا عينيكم صباح الخير. صباح الخير عليكم. صباح الخير. صباح الخير. سي مافيا كي داير حبيبي؟ صباح الخير. لاباس؟ يلاه كتسلم الله يهديك بغيت زبي غادرنا البلاطو.
تحدي المافيا المغربية - الجزء الثاني,,,,"تم الاغتيال بالنجاح.
"
تحدي المافيا المغربية - الجزء الثاني,,,,"المهم نعلوا على الزبير شنو هو؟ الزبير ممكن تغادر لبرشلونة.
"
تحدي المافيا المغربية - الجزء الثاني,,,,اللي كان ممكن؟ احنا نشوفوا لعبة الفيديو. آياياي! عرفت الستوم فين غاديين. والزبير كان مواطن صالح. غنبداو من زكرياء حدراف، وفيمن شك وعلاش؟
تحدي المافيا المغربية - الجزء الثاني,,,,الصراحة أش غنقولك، أنت اليوم كان عندك لاشونس اليوم.
تحدي المافيا المغربية - الجزء الثاني,,,,تقدر يكون بياج ديال الكاليريا.
تحدي المافيا المغربية - الجزء الثاني,,,,"شي حاجة؟ أتقدر تكون جات هي وصافي و بقينا ساكتين و مكملين اللعبة. وهي مابغاتش تبين لينا هي اللي عندها داك, شوف.. فهمتي؟ فهمتي؟"
تحدي المافيا المغربية - الجزء الثاني,,,,الذكاء ديالك كتشك في لبنى بان هي المافيا لبنى في من شاكة وعلاش شاكة؟
تحدي المافيا المغربية - الجزء الثاني,,,,شكراً لك الأصوات ديالكم. كاين كنشوفك ازكرياء كتقلب وجهك قدر في أي لحظة لا مشتي فييا وأنا نشوف فيه أوطوماتيك. واش كيقول؟ دابا أسيدي نمشيو للفقرة ديال التصويت اللي غادي تفوطيو على بعضياتكم إلى خرج مواطن صالح المافيا ربحات إلى خرجات المافيا المواطنين الصالحين كاملين ربحوا. نمشيو لأول صوت لبنى على من؟
